,is_good_result,channel_subscribers,title_length,has_special_characters_in_title,probably_sex_words_in_title,title_longest_word_length,title_number_words,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,channel_3_standard_deviations,channel_3_mean,channel_3_entropy,channel_2_standard_deviations,channel_2_mean,channel_2_entropy,channel_1_standard_deviations,channel_1_mean,channel_1_entropy,total_standard_deviation,total_mean,total_entropy,video_error_or_removed
4325,ViewsResult.MEDIUM,2020000.0,26,True,False,6,6,24.0,2018-01-23T14:00:04.000Z,263513.0,0.0,0.0,3986.0,False,True,0.8608601784921754,0.5944444444444444,5.754773623670622,1.05846091386165,0.6722222222222223,7.6302917556878125,1.1352380508504665,0.7111111111111111,6.267563028906574,65.77868439852713,68.51530864197532,6.863662424439954,False
4326,ViewsResult.MEDIUM,1150000.0,56,False,False,8,11,10.0,2018-01-24T20:05:08.000Z,251014.0,25000.0,314.0,1218.0,False,False,0.0,0.0,5.126910773380826,0.0,0.0,7.6523392803996515,0.0,0.0,4.288645914067416,90.31881106883282,91.67129629629628,6.127873304814647,False
4327,ViewsResult.GOOD,1040000.0,36,False,False,8,7,10.0,2018-01-23T00:20:02.000Z,1499675.0,77482.0,1061.0,3374.0,False,False,1.3066661942553943,1.5611111111111111,4.715176674014044,1.6097695563935102,1.4444444444444444,5.270052717930618,1.8788766508570487,1.3805555555555555,4.635459621264683,65.10589255234824,39.89484567901235,4.966241984514374,False
4328,ViewsResult.GOOD,157.0,61,False,False,10,10,43.0,2018-01-24T20:08:16.000Z,36609.0,810.0,66.0,220.0,False,False,1.4413187334375503,0.4805555555555556,5.678996501686388,1.3751515068044928,0.44166666666666665,7.724463492560064,1.6888317790051732,0.6416666666666667,6.409745339881612,86.73555936183473,89.48546296296297,6.825461202145936,False
4329,ViewsResult.MEDIUM,7630000.0,50,False,False,8,8,1.0,2018-01-22T17:05:24.000Z,1726008.0,59228.0,3119.0,4119.0,False,False,0.0,0.0,5.526139615410278,0.0,0.0,7.226619133951205,0.0,0.0,5.4763814635717605,98.81126256101112,125.92098765432098,6.398413999094075,False
4330,ViewsResult.GOOD,144000.0,57,False,False,10,9,24.0,2018-01-23T00:32:54.000Z,430336.0,8808.0,296.0,853.0,False,False,,,,,,,,,,,,,False
4331,ViewsResult.GOOD,21.0,70,False,False,13,11,10.0,2018-01-23T17:32:11.000Z,335416.0,16852.0,121.0,1418.0,False,False,1.208764290964583,1.0,6.210464819113492,1.1831866106221602,1.0916666666666666,7.782391006317662,1.8671543675065447,1.3611111111111112,6.676941052718682,73.10779313393574,73.55524691358025,7.083094801378219,False
4332,ViewsResult.GOOD,626000.0,97,False,False,12,19,17.0,2018-01-23T05:51:52.000Z,1190828.0,21941.0,609.0,1904.0,False,False,0.4520187912623997,0.1111111111111111,5.645390053012672,0.4496569337002282,0.09444444444444444,7.480902721738019,0.4496569337002282,0.09444444444444444,5.534531019191829,61.875331497443895,50.12317901234567,6.422913996347869,False
4333,ViewsResult.POOR,13500000.0,43,False,False,7,10,17.0,2018-01-24T09:25:46.000Z,176461.0,1898.0,2030.0,249.0,False,False,1.3283210185776106,1.102777777777778,5.547405592631124,1.529319928741022,1.2416666666666667,7.251200662122941,2.0749163303077496,1.4833333333333334,6.371862746712588,70.86891355193977,60.22864197530864,6.663065106614808,False
4334,ViewsResult.POOR,25100000.0,21,False,False,5,4,23.0,2018-01-22T17:00:05.000Z,1739292.0,58742.0,2504.0,4229.0,False,False,1.1186411509913974,0.7555555555555555,5.436823521706822,1.258195356673818,0.8166666666666667,7.719207378184693,1.5758497609657471,0.8944444444444445,6.135854501199431,85.96621676279297,73.91089506172841,6.644551289360511,False
