,is_good_result,title_length,is_published_in_week_end,days_since_publish_date,has_special_characters_in_title,probably_sex_words_in_title,title_longest_word_length,title_number_words,category_id,likes,dislikes,comment_count,comments_disabled,ratings_disabled,channel_3_standard_deviations,channel_3_mean,channel_3_entropy,channel_2_standard_deviations,channel_2_mean,channel_2_entropy,channel_1_standard_deviations,channel_1_mean,channel_1_entropy,total_standard_deviation,total_mean,total_entropy,video_error_or_removed
7081,ViewsResult.POOR,30,False,745,False,False,8,6,24.0,26662.0,664.0,1320.0,False,False,1.7414672932137811,1.3916666666666666,5.91683951159392,2.1628010387766445,1.575,7.615640963842938,2.9998958315248214,1.9416666666666669,6.745359830918652,78.09515688971777,71.64333333333333,6.921836413681121,False
7082,ViewsResult.MEDIUM,38,False,746,False,False,7,7,24.0,48735.0,1430.0,3721.0,False,False,0.0,0.0,4.26863784706021,0.0,0.0,7.629711456889128,0.0,0.0,4.013654489410967,62.1475769334381,47.62586419753087,5.669152557996483,False
7083,ViewsResult.MEDIUM,60,False,746,True,False,11,9,26.0,99392.0,3022.0,6857.0,False,False,1.5237598681558946,1.5194444444444444,5.934183957660191,2.0179671350209576,1.6055555555555556,7.870669940513749,2.9202147730924954,2.2888888888888888,6.830711114234522,86.88823109193376,108.3541049382716,7.181853164977665,False
7084,ViewsResult.MEDIUM,47,False,746,False,False,10,9,24.0,20534.0,629.0,1176.0,False,False,1.6806818134390258,1.0555555555555556,5.151651753993567,1.3672734651104226,0.9972222222222222,6.6345121695325435,1.456774298930583,0.8944444444444445,5.52661132976959,48.27300077067449,33.744043209876544,5.984280804197142,False
7085,ViewsResult.MEDIUM,46,False,746,False,False,12,7,23.0,42223.0,1214.0,1477.0,False,False,0.2939198681424733,0.05,5.244120992251472,0.5369021222614871,0.19166666666666668,7.270563969467164,0.5451738311518992,0.19722222222222224,5.429680709526829,63.28797377832306,47.941481481481475,6.204230413298456,False
7086,ViewsResult.MEDIUM,58,False,747,False,False,8,10,10.0,7537.0,640.0,329.0,False,False,0.0,0.0,0.8360221448310939,0.0,0.0,3.1577269330999496,0.0,0.0,-0.0,25.860785190922087,5.760648148148147,1.5368594269155824,False
7087,ViewsResult.POOR,44,False,748,False,False,8,6,20.0,13362.0,1668.0,3718.0,False,False,0.0,0.0,3.700786588859789,0.0,0.0,6.016945737207457,0.0,0.0,1.4833522872708722,113.49809318978028,160.2516666666667,4.195366835127256,False
7088,ViewsResult.GOOD,52,True,750,False,False,13,10,26.0,53675.0,9424.0,5629.0,False,False,0.9814600801300524,0.6916666666666667,6.285354229623136,1.295719448371787,0.9,7.728805955120639,1.5500672028442295,1.0083333333333333,6.633153461157951,85.20153938790061,115.31086419753086,7.111072517698504,False
7089,ViewsResult.MEDIUM,22,True,751,False,False,6,5,24.0,350602.0,6133.0,30057.0,False,False,0.0,0.0,5.631454466676117,0.0,0.0,7.4627763167032946,0.0,0.0,4.144189151032128,80.83345818543287,86.99913580246914,6.256320231412443,False
7090,ViewsResult.MEDIUM,31,True,750,False,False,6,7,24.0,10347.0,526.0,1235.0,False,False,1.5500871142385502,1.2472222222222222,6.12245645883528,1.9350547094061867,1.5027777777777778,7.657107994395357,2.5758613565941517,1.8222222222222224,6.950050330067644,87.58290003455956,104.2374074074074,7.130060982530947,False
7091,ViewsResult.MEDIUM,42,False,752,False,False,8,7,10.0,10134.0,322.0,365.0,False,False,0.0,0.0,3.4244717388647934,0.0,0.0,5.469315982554335,0.0,0.0,3.344816801893463,45.427935807988135,24.413611111111113,4.320920798228326,False
7092,ViewsResult.MEDIUM,25,False,752,True,False,6,5,28.0,33534.0,2668.0,3895.0,False,False,0.0,0.0,4.446523082171017,0.0,0.0,5.1670613344422645,0.0,0.0,3.7789943486307513,112.48039946062592,98.91882716049385,4.5620856654187385,False
7093,ViewsResult.POOR,50,False,752,True,False,9,8,24.0,17268.0,589.0,1791.0,False,False,0.4326115784139137,0.125,5.683815121038176,0.6859199013814303,0.2083333333333333,7.136448271316322,0.7799523173143026,0.24722222222222226,5.628689080712036,101.19802963385547,136.13472222222222,6.359978082892313,False
